gen,net_size,D,II,segII,nu,HS,HT,GST,RI,RI_max,RI_max_free,N,r,stp,Ne,Sim,U,NU
31,10733,0.032,0.16,0.05,0.532,0.031,0.047,0.334,0,0.0,0.04,50,Free,1,39.57,741,0.1,5.0
154,11428,0.072,1.28,0.32,0.546,0.059,0.093,0.364,0,0.32,0.26,50,Free,2,39.57,741,0.1,5.0
212,11781,0.095,1.46,0.13,0.473,0.037,0.083,0.552,0,0.24,0.32,50,Free,3,39.57,741,0.1,5.0
262,12081,0.12,2.1,0.11,0.481,0.031,0.09,0.651,0,0.48,0.46,50,Free,4,39.57,741,0.1,5.0
275,12260,0.164,2.78,0.07,0.466,0.019,0.099,0.809,0,0.22,0.44,50,Free,5,39.57,741,0.1,5.0
297,12410,0.18,4.04,0.05,0.447,0.018,0.107,0.83,0,0.2,0.36,50,Free,6,39.57,741,0.1,5.0
381,12765,0.211,3.2,0.11,0.566,0.027,0.129,0.795,0,0.24,0.46,50,Free,7,39.57,741,0.1,5.0
400,12910,0.24,3.68,0.03,0.607,0.017,0.135,0.873,0,0.3,0.4,50,Free,8,39.57,741,0.1,5.0
570,13855,0.271,4.74,0.12,0.523,0.033,0.164,0.797,0,0.36,0.44,50,Free,9,39.57,741,0.1,5.0
634,14492,0.309,3.42,0.1,0.632,0.034,0.183,0.813,0,0.3,0.58,50,Free,10,39.57,741,0.1,5.0
641,14837,0.337,3.52,0.14,0.622,0.036,0.198,0.82,0,0.3,0.5,50,Free,11,39.57,741,0.1,5.0
0,11354,0.0,0.14,0.24,0.578,0.06,0.06,0.0,0,0.0,0.0,50,Free,0,18.392,742,0.1,5.0
31,11620,0.031,0.52,0.12,0.59,0.043,0.058,0.259,0,0.1,0.1,50,Free,1,18.392,742,0.1,5.0
45,11996,0.062,1.2,0.23,0.58,0.049,0.078,0.379,0,0.1,0.18,50,Free,2,18.392,742,0.1,5.0
86,12348,0.09,1.08,0.15,0.603,0.038,0.082,0.531,0,0.28,0.36,50,Free,3,18.392,742,0.1,5.0
109,12806,0.12,1.8,0.22,0.556,0.048,0.105,0.541,0,0.4,0.32,50,Free,4,18.392,742,0.1,5.0
127,13014,0.152,2.12,0.08,0.563,0.029,0.103,0.721,0,0.4,0.48,50,Free,5,18.392,742,0.1,5.0
182,13335,0.186,2.78,0.06,0.594,0.025,0.115,0.784,0,0.34,0.46,50,Free,6,18.392,742,0.1,5.0
192,13642,0.212,3.32,0.19,0.606,0.039,0.14,0.725,0,0.5,0.32,50,Free,7,18.392,742,0.1,5.0
221,14043,0.243,3.56,0.38,0.57,0.051,0.166,0.695,0,0.52,0.48,50,Free,8,18.392,742,0.1,5.0
403,14893,0.27,3.16,0.1,0.566,0.036,0.166,0.782,0,0.32,0.56,50,Free,9,18.392,742,0.1,5.0
416,15055,0.302,2.64,0.14,0.567,0.018,0.167,0.89,0,0.24,0.4,50,Free,10,18.392,742,0.1,5.0
444,15190,0.333,4.28,0.04,0.539,0.014,0.179,0.919,0,0.24,0.4,50,Free,11,18.392,742,0.1,5.0
0,10629,0.0,0.14,0.28,0.444,0.038,0.038,0.0,0,0.1,0.1,50,Free,0,25.745,743,0.1,5.0
61,11244,0.035,0.44,0.2,0.553,0.04,0.057,0.293,0,0.06,0.1,50,Free,1,25.745,743,0.1,5.0
79,11386,0.064,0.4,0.05,0.528,0.024,0.055,0.566,0,0.04,0.1,50,Free,2,25.745,743,0.1,5.0
196,11975,0.096,2.48,0.28,0.556,0.041,0.087,0.53,0,0.4,0.44,50,Free,3,25.745,743,0.1,5.0
202,12132,0.124,2.66,0.06,0.537,0.033,0.093,0.644,0,0.46,0.5,50,Free,4,25.745,743,0.1,5.0
286,12770,0.159,1.2,0.2,0.562,0.043,0.119,0.641,0,0.22,0.38,50,Free,5,25.745,743,0.1,5.0
337,13130,0.186,2.32,0.05,0.566,0.029,0.12,0.754,0,0.24,0.34,50,Free,6,25.745,743,0.1,5.0
351,13537,0.215,3.04,0.21,0.542,0.038,0.142,0.729,0,0.16,0.36,50,Free,7,25.745,743,0.1,5.0
402,14182,0.252,3.08,0.24,0.57,0.042,0.163,0.741,0,0.44,0.44,50,Free,8,25.745,743,0.1,5.0
416,14333,0.271,3.5,0.17,0.562,0.031,0.162,0.81,0,0.62,0.5,50,Free,9,25.745,743,0.1,5.0
430,14675,0.303,5.04,0.21,0.549,0.038,0.183,0.795,0,0.4,0.42,50,Free,10,25.745,743,0.1,5.0
470,15021,0.332,4.96,0.07,0.546,0.035,0.195,0.819,0,0.3,0.5,50,Free,11,25.745,743,0.1,5.0
0,10724,0.0,0.12,0.08,0.645,0.039,0.039,0.0,0,0.0,0.0,50,Free,0,30.413,744,0.1,5.0
62,11197,0.038,0.08,0.16,0.648,0.043,0.062,0.297,0,0.02,0.06,50,Free,1,30.413,744,0.1,5.0
65,11593,0.061,0.38,0.22,0.634,0.047,0.076,0.384,0,0.14,0.18,50,Free,2,30.413,744,0.1,5.0
71,11879,0.094,1.0,0.22,0.594,0.047,0.092,0.488,0,0.32,0.18,50,Free,3,30.413,744,0.1,5.0
87,12285,0.122,1.54,0.2,0.601,0.045,0.103,0.566,0,0.32,0.5,50,Free,4,30.413,744,0.1,5.0
140,12797,0.159,2.56,0.31,0.602,0.046,0.122,0.623,0,0.28,0.34,50,Free,5,30.413,744,0.1,5.0
148,13080,0.181,2.44,0.03,0.614,0.032,0.12,0.731,0,0.46,0.42,50,Free,6,30.413,744,0.1,5.0
264,13826,0.212,3.16,0.09,0.566,0.041,0.142,0.713,0,0.14,0.4,50,Free,7,30.413,744,0.1,5.0
274,14109,0.245,3.48,0.12,0.557,0.038,0.156,0.754,0,0.18,0.46,50,Free,8,30.413,744,0.1,5.0
338,14557,0.274,4.56,0.14,0.542,0.039,0.171,0.771,0,0.2,0.6,50,Free,9,30.413,744,0.1,5.0
427,15155,0.3,4.54,0.3,0.499,0.044,0.187,0.767,0,0.18,0.52,50,Free,10,30.413,744,0.1,5.0
440,15439,0.33,3.76,0.15,0.539,0.033,0.193,0.829,0,0.16,0.46,50,Free,11,30.413,744,0.1,5.0
0,10648,0.0,0.22,0.18,0.554,0.045,0.045,0.0,0,0.04,0.04,50,Free,0,26.139,745,0.1,5.0
8,10835,0.034,0.48,0.19,0.58,0.039,0.055,0.299,0,0.04,0.14,50,Free,1,26.139,745,0.1,5.0
18,11139,0.063,0.62,0.25,0.596,0.038,0.068,0.442,0,0.24,0.16,50,Free,2,26.139,745,0.1,5.0
116,11673,0.092,1.16,0.13,0.528,0.037,0.082,0.543,0,0.06,0.28,50,Free,3,26.139,745,0.1,5.0
142,11880,0.126,1.1,0.07,0.533,0.024,0.085,0.72,0,0.06,0.3,50,Free,4,26.139,745,0.1,5.0
157,12178,0.151,1.6,0.1,0.533,0.037,0.109,0.665,0,0.22,0.46,50,Free,5,26.139,745,0.1,5.0
202,12527,0.182,1.42,0.15,0.57,0.04,0.127,0.687,0,0.28,0.42,50,Free,6,26.139,745,0.1,5.0
253,13000,0.215,2.42,0.13,0.591,0.046,0.148,0.692,0,0.22,0.54,50,Free,7,26.139,745,0.1,5.0
259,13205,0.24,3.12,0.15,0.59,0.035,0.151,0.769,0,0.34,0.5,50,Free,8,26.139,745,0.1,5.0
277,13433,0.272,3.72,0.1,0.576,0.024,0.157,0.846,0,0.34,0.5,50,Free,9,26.139,745,0.1,5.0
781,15718,0.303,3.72,0.08,0.574,0.028,0.175,0.842,0,0.46,0.34,50,Free,10,26.139,745,0.1,5.0
878,16723,0.34,5.2,0.17,0.571,0.056,0.217,0.742,0,0.54,0.46,50,Free,11,26.139,745,0.1,5.0
0,11079,0.0,0.0,0.0,0.506,0.018,0.018,0.0,0,0.0,0.0,50,Free,0,32.604,746,0.1,5.0
23,11484,0.038,0.34,0.07,0.602,0.035,0.053,0.348,0,0.02,0.12,50,Free,1,32.604,746,0.1,5.0
30,11609,0.06,0.7,0.04,0.588,0.025,0.055,0.537,0,0.1,0.1,50,Free,2,32.604,746,0.1,5.0
131,12504,0.092,1.18,0.29,0.578,0.058,0.101,0.43,0,0.14,0.24,50,Free,3,32.604,746,0.1,5.0
345,13218,0.121,1.16,0.14,0.503,0.023,0.082,0.719,0,0.28,0.22,50,Free,4,32.604,746,0.1,5.0
354,13291,0.151,1.82,0.03,0.522,0.018,0.092,0.806,0,0.08,0.3,50,Free,5,32.604,746,0.1,5.0
376,13833,0.184,3.08,0.25,0.544,0.048,0.136,0.645,0,0.16,0.42,50,Free,6,32.604,746,0.1,5.0
390,13990,0.211,3.18,0.05,0.568,0.03,0.132,0.776,0,0.12,0.34,50,Free,7,32.604,746,0.1,5.0
436,14433,0.242,2.98,0.12,0.548,0.036,0.152,0.767,0,0.2,0.6,50,Free,8,32.604,746,0.1,5.0
449,14769,0.273,4.06,0.11,0.534,0.039,0.171,0.769,0,0.3,0.56,50,Free,9,32.604,746,0.1,5.0
455,14900,0.305,4.42,0.08,0.53,0.023,0.172,0.865,0,0.38,0.48,50,Free,10,32.604,746,0.1,5.0
493,15170,0.331,5.42,0.05,0.524,0.029,0.19,0.848,0,0.42,0.48,50,Free,11,32.604,746,0.1,5.0
0,10698,0.0,0.24,0.25,0.658,0.043,0.043,0.0,0,0.06,0.06,50,Free,0,22.254,747,0.1,5.0
19,10988,0.032,0.26,0.15,0.609,0.038,0.054,0.284,0,0.04,0.14,50,Free,1,22.254,747,0.1,5.0
172,11552,0.064,0.86,0.11,0.572,0.034,0.065,0.473,0,0.14,0.16,50,Free,2,22.254,747,0.1,5.0
183,11680,0.096,1.64,0.06,0.592,0.032,0.079,0.591,0,0.22,0.3,50,Free,3,22.254,747,0.1,5.0
193,12039,0.122,2.12,0.33,0.559,0.051,0.109,0.532,0,0.24,0.34,50,Free,4,22.254,747,0.1,5.0
218,12510,0.154,1.3,0.13,0.569,0.049,0.122,0.599,0,0.34,0.44,50,Free,5,22.254,747,0.1,5.0
292,13013,0.185,1.8,0.17,0.576,0.039,0.128,0.693,0,0.66,0.44,50,Free,6,22.254,747,0.1,5.0
332,13492,0.211,1.86,0.15,0.582,0.034,0.136,0.75,0,0.5,0.44,50,Free,7,22.254,747,0.1,5.0
360,13739,0.241,2.8,0.18,0.558,0.035,0.151,0.771,0,0.56,0.48,50,Free,8,22.254,747,0.1,5.0
426,14253,0.27,2.94,0.15,0.625,0.038,0.168,0.776,0,0.3,0.52,50,Free,9,22.254,747,0.1,5.0
528,14877,0.302,3.48,0.08,0.607,0.04,0.185,0.784,0,0.42,0.38,50,Free,10,22.254,747,0.1,5.0
538,15223,0.339,4.2,0.26,0.556,0.05,0.211,0.765,0,0.48,0.5,50,Free,11,22.254,747,0.1,5.0
0,9277,0.0,0.02,0.02,0.581,0.032,0.032,0.0,0,0.0,0.02,50,Free,0,23.131,748,0.1,5.0
39,9515,0.03,0.24,0.07,0.548,0.026,0.041,0.361,0,0.02,0.02,50,Free,1,23.131,748,0.1,5.0
62,9829,0.073,0.98,0.18,0.56,0.042,0.077,0.451,0,0.1,0.14,50,Free,2,23.131,748,0.1,5.0
68,10173,0.091,1.54,0.34,0.542,0.058,0.1,0.427,0,0.12,0.36,50,Free,3,23.131,748,0.1,5.0
119,10595,0.12,1.1,0.19,0.568,0.045,0.103,0.559,0,0.14,0.24,50,Free,4,23.131,748,0.1,5.0
188,11170,0.15,2.12,0.35,0.574,0.047,0.118,0.605,0,0.04,0.48,50,Free,5,23.131,748,0.1,5.0
205,11387,0.186,2.66,0.17,0.554,0.032,0.122,0.737,0,0.08,0.46,50,Free,6,23.131,748,0.1,5.0
208,11572,0.212,2.84,0.11,0.568,0.024,0.127,0.814,0,0.14,0.54,50,Free,7,23.131,748,0.1,5.0
295,12197,0.242,3.68,0.24,0.528,0.04,0.157,0.742,0,0.42,0.42,50,Free,8,23.131,748,0.1,5.0
331,12588,0.274,4.78,0.2,0.537,0.042,0.173,0.759,0,0.56,0.42,50,Free,9,23.131,748,0.1,5.0
405,13234,0.304,3.42,0.07,0.557,0.042,0.188,0.774,0,0.38,0.42,50,Free,10,23.131,748,0.1,5.0
422,13541,0.331,3.72,0.16,0.55,0.032,0.192,0.835,0,0.38,0.52,50,Free,11,23.131,748,0.1,5.0
0,11740,0.0,0.02,0.03,0.585,0.028,0.028,0.0,0,0.0,0.02,50,Free,0,37.519,749,0.1,5.0
37,12161,0.032,0.7,0.13,0.568,0.051,0.066,0.231,0,0.04,0.12,50,Free,1,37.519,749,0.1,5.0
51,12403,0.062,0.78,0.19,0.534,0.046,0.076,0.39,0,0.02,0.12,50,Free,2,37.519,749,0.1,5.0
112,12934,0.092,0.96,0.17,0.577,0.043,0.087,0.509,0,0.08,0.28,50,Free,3,37.519,749,0.1,5.0
132,13214,0.125,0.64,0.21,0.542,0.043,0.103,0.582,0,0.14,0.26,50,Free,4,37.519,749,0.1,5.0
154,13595,0.154,1.82,0.35,0.556,0.043,0.117,0.63,0,0.1,0.42,50,Free,5,37.519,749,0.1,5.0
194,13987,0.181,1.54,0.1,0.549,0.037,0.124,0.701,0,0.1,0.38,50,Free,6,37.519,749,0.1,5.0
208,14171,0.223,2.84,0.11,0.558,0.031,0.139,0.778,0,0.12,0.36,50,Free,7,37.519,749,0.1,5.0
243,14563,0.242,2.78,0.15,0.571,0.043,0.159,0.728,0,0.26,0.6,50,Free,8,37.519,749,0.1,5.0
262,15144,0.271,3.96,0.44,0.532,0.07,0.196,0.644,0,0.34,0.48,50,Free,9,37.519,749,0.1,5.0
281,15489,0.303,3.78,0.29,0.503,0.048,0.192,0.749,0,0.38,0.46,50,Free,10,37.519,749,0.1,5.0
296,15700,0.335,4.36,0.19,0.522,0.034,0.196,0.825,0,0.24,0.52,50,Free,11,37.519,749,0.1,5.0
0,10656,0.0,0.3,0.39,0.588,0.056,0.056,0.0,0,0.06,0.1,50,Free,0,21.635,750,0.1,5.0
30,11115,0.032,0.88,0.29,0.557,0.058,0.073,0.207,0,0.2,0.16,50,Free,1,21.635,750,0.1,5.0
56,11475,0.06,0.84,0.24,0.551,0.046,0.075,0.383,0,0.3,0.18,50,Free,2,21.635,750,0.1,5.0
87,11791,0.09,0.86,0.05,0.56,0.033,0.077,0.566,0,0.24,0.18,50,Free,3,21.635,750,0.1,5.0
134,12106,0.122,1.7,0.06,0.565,0.038,0.097,0.606,0,0.3,0.36,50,Free,4,21.635,750,0.1,5.0
140,12224,0.152,2.62,0.08,0.537,0.033,0.107,0.687,0,0.58,0.48,50,Free,5,21.635,750,0.1,5.0
161,12499,0.184,2.38,0.12,0.527,0.034,0.123,0.724,0,0.14,0.56,50,Free,6,21.635,750,0.1,5.0
174,12916,0.21,2.98,0.32,0.492,0.052,0.151,0.658,0,0.64,0.52,50,Free,7,21.635,750,0.1,5.0
188,13149,0.241,3.34,0.24,0.538,0.042,0.157,0.734,0,0.3,0.62,50,Free,8,21.635,750,0.1,5.0
204,13466,0.273,3.66,0.12,0.556,0.044,0.175,0.746,0,0.5,0.52,50,Free,9,21.635,750,0.1,5.0
242,13852,0.305,4.52,0.19,0.553,0.043,0.189,0.771,0,0.56,0.54,50,Free,10,21.635,750,0.1,5.0
574,15189,0.334,4.02,0.13,0.525,0.028,0.191,0.851,0,0.42,0.4,50,Free,11,21.635,750,0.1,5.0
0,9638,0.0,0.14,0.09,0.561,0.046,0.046,0.0,0,0.0,0.04,50,Free,0,26.791,751,0.1,5.0
27,9997,0.031,0.52,0.23,0.496,0.046,0.061,0.241,0,0.12,0.18,50,Free,1,26.791,751,0.1,5.0
89,10272,0.06,0.52,0.05,0.556,0.029,0.058,0.502,0,0.0,0.12,50,Free,2,26.791,751,0.1,5.0
113,10587,0.097,1.0,0.18,0.589,0.038,0.084,0.55,0,0.16,0.22,50,Free,3,26.791,751,0.1,5.0
173,10893,0.127,1.78,0.05,0.564,0.038,0.099,0.618,0,0.16,0.32,50,Free,4,26.791,751,0.1,5.0
187,11149,0.155,2.06,0.19,0.599,0.036,0.111,0.673,0,0.22,0.34,50,Free,5,26.791,751,0.1,5.0
228,11462,0.181,1.58,0.07,0.616,0.03,0.118,0.746,0,0.26,0.4,50,Free,6,26.791,751,0.1,5.0
268,11821,0.216,3.08,0.12,0.58,0.038,0.142,0.732,0,0.38,0.36,50,Free,7,26.791,751,0.1,5.0
373,12322,0.242,4.52,0.1,0.516,0.027,0.145,0.816,0,0.36,0.52,50,Free,8,26.791,751,0.1,5.0
383,12640,0.274,4.82,0.26,0.528,0.042,0.173,0.759,0,0.32,0.5,50,Free,9,26.791,751,0.1,5.0
400,13040,0.303,4.78,0.32,0.505,0.043,0.188,0.773,0,0.42,0.46,50,Free,10,26.791,751,0.1,5.0
535,13793,0.332,4.86,0.16,0.612,0.033,0.194,0.83,0,0.22,0.52,50,Free,11,26.791,751,0.1,5.0
0,10597,0.0,0.0,0.02,0.535,0.022,0.022,0.0,0,0.02,0.0,50,Free,0,50.335,752,0.1,5.0
14,10900,0.034,0.6,0.18,0.495,0.037,0.054,0.301,0,0.02,0.14,50,Free,1,50.335,752,0.1,5.0
48,11220,0.061,0.22,0.04,0.574,0.028,0.057,0.519,0,0.02,0.18,50,Free,2,50.335,752,0.1,5.0
64,11477,0.09,1.06,0.09,0.568,0.033,0.077,0.566,0,0.22,0.2,50,Free,3,50.335,752,0.1,5.0
230,12248,0.121,1.38,0.18,0.556,0.041,0.099,0.583,0,0.22,0.36,50,Free,4,50.335,752,0.1,5.0
247,12442,0.152,1.42,0.15,0.583,0.029,0.103,0.716,0,0.06,0.4,50,Free,5,50.335,752,0.1,5.0
297,13045,0.183,2.86,0.24,0.522,0.051,0.137,0.632,0,0.26,0.44,50,Free,6,50.335,752,0.1,5.0
363,13400,0.211,2.74,0.11,0.535,0.033,0.135,0.756,0,0.18,0.28,50,Free,7,50.335,752,0.1,5.0
451,13998,0.241,2.5,0.09,0.585,0.032,0.149,0.782,0,0.46,0.54,50,Free,8,50.335,752,0.1,5.0
457,14306,0.273,3.34,0.13,0.574,0.045,0.176,0.741,0,0.4,0.5,50,Free,9,50.335,752,0.1,5.0
463,14543,0.307,3.16,0.14,0.568,0.044,0.191,0.767,0,0.48,0.6,50,Free,10,50.335,752,0.1,5.0
526,15065,0.331,4.5,0.18,0.545,0.03,0.19,0.845,0,0.5,0.48,50,Free,11,50.335,752,0.1,5.0
0,10519,0.0,0.08,0.08,0.522,0.051,0.051,0.0,0,0.0,0.02,50,Free,0,23.903,753,0.1,5.0
15,10826,0.032,0.32,0.23,0.524,0.043,0.058,0.266,0,0.04,0.02,50,Free,1,23.903,753,0.1,5.0
44,11235,0.061,1.0,0.21,0.521,0.044,0.074,0.399,0,0.08,0.18,50,Free,2,23.903,753,0.1,5.0
61,11430,0.092,1.8,0.21,0.502,0.033,0.077,0.575,0,0.06,0.28,50,Free,3,23.903,753,0.1,5.0
90,11842,0.125,1.8,0.13,0.544,0.04,0.1,0.599,0,0.12,0.28,50,Free,4,23.903,753,0.1,5.0
113,12138,0.154,1.94,0.1,0.604,0.047,0.121,0.609,0,0.22,0.48,50,Free,5,23.903,753,0.1,5.0
139,12441,0.181,2.38,0.18,0.574,0.039,0.126,0.689,0,0.34,0.46,50,Free,6,23.903,753,0.1,5.0
149,12745,0.219,3.68,0.41,0.596,0.052,0.156,0.664,0,0.36,0.54,50,Free,7,23.903,753,0.1,5.0
180,13089,0.243,3.86,0.13,0.605,0.04,0.156,0.746,0,0.32,0.48,50,Free,8,23.903,753,0.1,5.0
192,13220,0.281,5.24,0.1,0.544,0.033,0.169,0.803,0,0.22,0.58,50,Free,9,23.903,753,0.1,5.0
215,13499,0.307,4.68,0.04,0.51,0.024,0.174,0.86,0,0.4,0.6,50,Free,10,23.903,753,0.1,5.0
541,15011,0.333,4.36,0.08,0.53,0.028,0.19,0.854,0,0.4,0.54,50,Free,11,23.903,753,0.1,5.0
0,10779,0.0,0.32,0.32,0.513,0.065,0.065,0.0,0,0.06,0.08,50,Free,0,23.742,754,0.1,5.0
21,11042,0.035,0.56,0.04,0.522,0.031,0.048,0.354,0,0.04,0.14,50,Free,1,23.742,754,0.1,5.0
26,11164,0.062,1.22,0.05,0.52,0.026,0.056,0.535,0,0.16,0.22,50,Free,2,23.742,754,0.1,5.0
35,11380,0.091,1.82,0.15,0.532,0.031,0.075,0.587,0,0.22,0.42,50,Free,3,23.742,754,0.1,5.0
52,11640,0.12,2.62,0.27,0.537,0.045,0.103,0.56,0,0.28,0.34,50,Free,4,23.742,754,0.1,5.0
133,12144,0.151,2.02,0.09,0.552,0.037,0.109,0.665,0,0.14,0.66,50,Free,5,23.742,754,0.1,5.0
181,12832,0.189,3.08,0.19,0.563,0.06,0.149,0.597,0,0.3,0.38,50,Free,6,23.742,754,0.1,5.0
198,13012,0.215,3.72,0.11,0.594,0.033,0.137,0.76,0,0.3,0.62,50,Free,7,23.742,754,0.1,5.0
226,13514,0.244,3.78,0.26,0.552,0.05,0.166,0.699,0,0.22,0.5,50,Free,8,23.742,754,0.1,5.0
238,13745,0.279,4.14,0.16,0.544,0.043,0.176,0.757,0,0.34,0.48,50,Free,9,23.742,754,0.1,5.0
254,14166,0.309,5.32,0.45,0.484,0.051,0.198,0.741,0,0.34,0.5,50,Free,10,23.742,754,0.1,5.0
305,14633,0.343,4.98,0.05,0.499,0.04,0.204,0.804,0,0.32,0.48,50,Free,11,23.742,754,0.1,5.0
0,11370,0.0,0.28,0.36,0.585,0.044,0.044,0.0,0,0.1,0.04,50,Free,0,37.759,755,0.1,5.0
60,12017,0.035,0.58,0.29,0.534,0.06,0.076,0.215,0,0.1,0.16,50,Free,1,37.759,755,0.1,5.0
92,12255,0.063,0.56,0.1,0.572,0.038,0.068,0.442,0,0.1,0.18,50,Free,2,37.759,755,0.1,5.0
110,12600,0.094,1.1,0.22,0.568,0.042,0.087,0.518,0,0.12,0.28,50,Free,3,37.759,755,0.1,5.0
195,12999,0.121,2.5,0.08,0.494,0.031,0.089,0.658,0,0.4,0.44,50,Free,4,37.759,755,0.1,5.0
214,13266,0.159,2.86,0.13,0.476,0.029,0.106,0.724,0,0.44,0.5,50,Free,5,37.759,755,0.1,5.0
420,14136,0.182,1.7,0.16,0.572,0.034,0.122,0.72,0,0.26,0.3,50,Free,6,37.759,755,0.1,5.0
468,14570,0.215,2.46,0.09,0.553,0.034,0.138,0.753,0,0.3,0.42,50,Free,7,37.759,755,0.1,5.0
488,14987,0.243,4.0,0.37,0.558,0.043,0.159,0.73,0,0.34,0.5,50,Free,8,37.759,755,0.1,5.0
496,15223,0.271,4.4,0.08,0.577,0.027,0.159,0.832,0,0.34,0.44,50,Free,9,37.759,755,0.1,5.0
579,15864,0.306,3.94,0.1,0.581,0.037,0.184,0.799,0,0.44,0.6,50,Free,10,37.759,755,0.1,5.0
623,16439,0.33,5.82,0.31,0.516,0.057,0.213,0.733,0,0.42,0.38,50,Free,11,37.759,755,0.1,5.0
0,9649,0.0,0.1,0.06,0.59,0.028,0.028,0.0,0,0.04,0.0,50,Free,0,24.37,756,0.1,5.0
39,10018,0.033,0.56,0.19,0.579,0.054,0.07,0.221,0,0.22,0.12,50,Free,1,24.37,756,0.1,5.0
51,10258,0.062,0.84,0.24,0.544,0.056,0.085,0.342,0,0.16,0.26,50,Free,2,24.37,756,0.1,5.0
129,10826,0.091,1.74,0.37,0.563,0.053,0.096,0.449,0,0.24,0.36,50,Free,3,24.37,756,0.1,5.0
136,11080,0.123,2.2,0.46,0.535,0.053,0.111,0.525,0,0.36,0.36,50,Free,4,24.37,756,0.1,5.0
237,11478,0.153,1.92,0.05,0.589,0.02,0.094,0.791,0,0.42,0.36,50,Free,5,24.37,756,0.1,5.0
449,12177,0.186,2.5,0.0,0.612,0.02,0.111,0.823,0,0.74,0.5,50,Free,6,24.37,756,0.1,5.0
521,12648,0.213,2.66,0.22,0.522,0.041,0.143,0.715,0,0.56,0.48,50,Free,7,24.37,756,0.1,5.0
685,13609,0.243,2.18,0.05,0.587,0.027,0.145,0.817,0,0.36,0.6,50,Free,8,24.37,756,0.1,5.0
717,14089,0.279,4.86,0.35,0.562,0.047,0.18,0.737,0,0.48,0.48,50,Free,9,24.37,756,0.1,5.0
747,14371,0.302,5.78,0.1,0.58,0.029,0.176,0.834,0,0.54,0.58,50,Free,10,24.37,756,0.1,5.0
768,14733,0.33,5.06,0.17,0.546,0.041,0.199,0.795,0,0.46,0.62,50,Free,11,24.37,756,0.1,5.0
0,10489,0.0,0.36,0.38,0.559,0.066,0.066,0.0,0,0.04,0.1,50,Free,0,25.751,757,0.1,5.0
32,10880,0.032,0.32,0.19,0.6,0.041,0.056,0.275,0,0.02,0.06,50,Free,1,25.751,757,0.1,5.0
40,11047,0.063,0.54,0.26,0.621,0.035,0.066,0.462,0,0.0,0.06,50,Free,2,25.751,757,0.1,5.0
172,11692,0.09,1.12,0.14,0.545,0.038,0.082,0.532,0,0.06,0.16,50,Free,3,25.751,757,0.1,5.0
254,12221,0.12,1.14,0.11,0.612,0.039,0.096,0.599,0,0.2,0.28,50,Free,4,25.751,757,0.1,5.0
276,12574,0.15,1.42,0.13,0.588,0.033,0.106,0.685,0,0.16,0.42,50,Free,5,25.751,757,0.1,5.0
286,12824,0.183,2.06,0.11,0.576,0.038,0.126,0.701,0,0.34,0.44,50,Free,6,25.751,757,0.1,5.0
293,13097,0.217,2.9,0.31,0.55,0.049,0.152,0.677,0,0.46,0.32,50,Free,7,25.751,757,0.1,5.0
443,13962,0.243,2.9,0.03,0.542,0.023,0.141,0.838,0,0.16,0.52,50,Free,8,25.751,757,0.1,5.0
561,14783,0.284,4.58,0.22,0.554,0.042,0.178,0.762,0,0.26,0.6,50,Free,9,25.751,757,0.1,5.0
749,15614,0.305,4.94,0.36,0.508,0.038,0.185,0.793,0,0.48,0.54,50,Free,10,25.751,757,0.1,5.0
766,15929,0.334,5.8,0.04,0.521,0.026,0.189,0.86,0,0.5,0.62,50,Free,11,25.751,757,0.1,5.0
0,10545,0.0,0.18,0.25,0.583,0.048,0.048,0.0,0,0.06,0.04,50,Free,0,30.681,758,0.1,5.0
11,10992,0.031,0.68,0.43,0.574,0.059,0.073,0.201,0,0.24,0.12,50,Free,1,30.681,758,0.1,5.0
27,11292,0.06,0.3,0.12,0.548,0.036,0.065,0.446,0,0.02,0.12,50,Free,2,30.681,758,0.1,5.0
114,11789,0.091,1.34,0.1,0.544,0.032,0.076,0.58,0,0.56,0.36,50,Free,3,30.681,758,0.1,5.0
123,12122,0.12,1.74,0.21,0.545,0.052,0.109,0.523,0,0.38,0.28,50,Free,4,30.681,758,0.1,5.0
138,12435,0.155,1.98,0.13,0.566,0.045,0.119,0.62,0,0.5,0.38,50,Free,5,30.681,758,0.1,5.0
266,13127,0.185,3.16,0.21,0.492,0.033,0.122,0.733,0,0.3,0.36,50,Free,6,30.681,758,0.1,5.0
277,13321,0.21,3.64,0.04,0.49,0.026,0.128,0.798,0,0.4,0.48,50,Free,7,30.681,758,0.1,5.0
290,13608,0.24,3.34,0.13,0.524,0.041,0.156,0.738,0,0.36,0.54,50,Free,8,30.681,758,0.1,5.0
307,13983,0.271,4.64,0.19,0.52,0.048,0.177,0.73,0,0.42,0.44,50,Free,9,30.681,758,0.1,5.0
318,14460,0.306,4.38,0.39,0.538,0.055,0.2,0.726,0,0.44,0.44,50,Free,10,30.681,758,0.1,5.0
324,14655,0.331,3.76,0.12,0.558,0.03,0.19,0.844,0,0.56,0.46,50,Free,11,30.681,758,0.1,5.0
0,10644,0.0,0.12,0.05,0.536,0.047,0.047,0.0,0,0.02,0.04,50,Free,0,23.138,759,0.1,5.0
29,10910,0.037,0.24,0.26,0.524,0.041,0.059,0.302,0,0.02,0.1,50,Free,1,23.138,759,0.1,5.0
